SP ID,Skills Programme Title,NQF Level,Credits,Attachments
SP-220310,Order Picker Lift Truck Driver F8,3,20,"SP Curr Order Picker Lift Truck F8 Driver 3 20.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/I6IPVLnRvrZjHy4ueHUB1A/EAwJjJ-w1VjIF9XRskPxyW7Ahb2bmyt86dpqRZChyQafkr-OxzzNaYz8_FlVJ4m72OmgUKHAprvaANqo2IOWTPsDOtZDgN5WUBCT0Unh3FWSZkZtH9MPptkvFLU53HuTEo5-wb2aGPCozPgCm3bkSeSvqOMUlPxqiZO_NWuVknJ6EC4-oJUtIwNzXrm-dr3R/QkKqvVjZUh0-xhE7aSl8otFyz4uCVgcfIO1z9__lNUE),SP Doc Order Picker Lift Truck F8 Driver 3 20.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/UL-VqkQzrshKVweLYbBQNg/G0_XIVdKlu4I4vx7O5N2_kyf-XQCQ8iikvshSzlgkAFCGQh1lt7Dk2ahV5z1Nmx9twyioLntGqJjnNf_JoQcQKvQWlQxIVFvA41c2LVfg9a-XGP0Pt0Fyd9LyChBtXiu3pnEy-7yCRQLwt-3GDckprRXS5pIEyQjp_TqPNcKCRPNFtE8doiKzdaahz3nmkyW/zyXyXTLBLxdcG7a_FALFwVaGKvXYhLVtd2Grn9i4W_Y)"
SP-220311,Order Picker Lift Truck Driver F9,3,20,"SP Curr Order Picker Lift Truck F9 Driver 3 20.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/28Ix9qe1B2smajyPrIoceg/w-mbudMk_gb4rm2ZGqPYw0OiFWqYPkeAWBZuPOXaJiyXe2sCfPJ5GHB3_LDJ7BHsoS-mS9J-0Xj3IziZ3ZhyqSNU937f3XxFWXLuni5IMv4cnopXCATV7pyFOv0pwiubKkW_kI4Qa3pb-JwYL9LsjV3dFEGAnuDibgt356Kfu-UHn3-DVNy6bv-HeRYz1TfP/fcjtONRV78e0TvO9XkCcMSNHYgtvzrEmuu4rvjitbPk),SP Doc Order Picker Lift Truck F9 Driver 3 20.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/pFk3P8kNUBJy8ylkmzhcoA/UkEBujDBH0E3AKZlIePGGrY47RCiv-tyIdW8l9Im2KZ2-wBUOFltDJAKxo68chabeKjHEantnBaVsmPbUR-Tzm-ZqLi3VcmIIDkHDtSVjkk1IGfhuj3ivNhiB9ZyYGSOVrvOxJZn_xXXCYaFnWl3RsoB-Q-PErdg072RHnilahfMFAAfjZXw54_ZTiZGwOIB/qYIwnRtVtFmj8ZWn9f9xcwy8zqrcHWPyhPgdwGIzfsk)"
SP-250105,Ore Reception Plant Operator,2,24,"SP Curr Ore Reception Plant Operator 2 24.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/-at_vS_39LtXP1dBOIS1Fg/moHrbNdoifwsmkZGz9_WU96heGj210EZi-J0QkThRIKfgboQ2lm0Wp83E7flBQ1AoUEV5rHVqyK1peMVrT0W1S9mqHiIicPk3X_Zkm8ssB-jSlHZDI4MF2rYc03Zsbmp9-EkCf86ebVpADgK0MCNSWPr5Eif4QanS9KBBQ7th0nMyNlTyvEaHRT-MazYG40D/LUR2TD1hEA7LdsQEm1Fj1UlOvMFuwPCAWFd4shlsX28),SP Doc Ore Reception Plant Operator 2 24.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/aMgOxfnZb5TmCmlE-sdAKQ/Eh2S4LJWv0qlr1UGa581bzAQK6rRHfBI0MHFpe1kKKqzFQvXtLldX3DhxetqQ5BZ8VzI2-tKkf0ZqIrUH8axtxd8rxxMxtspHIyZ7JZy7ATno4bWaGORDDvgRP0fmZMxtQ5axXRnpKszL0rCyrPTShuqSyZbYdcpXsGufX_x6jZ2ZUUJ9CbSfi6A8CNWVsyL/rViNxulxyUlLafNOgfZ3BYtTDia8PJ6TowZ65Z7FMqw)"
SP-220314,Pallet Lift Truck F12 Driver,3,20,"SP Curr Pallet Lift Truck F12 Driver 3 20.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/vij5HdOeMVZvYUwuasbq-w/ysZ1BBWosvqULGhG3PCYArE2MgvDd9R_H-dTCgeWEih7lK5FGgPuzfJDuxGesvWryv7TFqeLISahnrSeFvjA7DgualHM2bJc44BGhdRP5kl4Fb_Zyg5_gfDom5dug9zXSEOSLP7zkwVmiTpAYjAvv8_lHAmZbib-KRDW04z7WsY4u4TPi3piC-_008niZQFj/mH4fyoVZLkWyUOuBN2KDkn-0JbAKS3oqEYmj_Im5Ltc),SP Doc Pallet Lift Truck F12 Driver 3 20.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/6P4CX6C09kdoe6dwnkxjvw/zdyi64bCRn3wB27UzXZtRZhnEqfpyAoFXyrbXtmhIMTYJGte7itDWkmYnSYNctowRmOG7Msv9P6QPegdm3lCAMgoO_3bGJaX5vchXt-Btrt47Gm4uj3fzGQYUlRh0-o8X4_36n7R5QE5r5tRT2uzHwC00u0w6ZEhW_7--uztO8Y/UHkGlsHju9UJ1jO2XO69B2Fc_i1qi-X-AYkCoXG_tQo)"
SP-220308,Pedestrian-controlled Lift Truck Driver F6,3,20,"SP Curr Pedestrian-controlled Lift Truck F6 Driver 3 20.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/Hy_EHvgCjCg5qVVOio5L4Q/ig64KZ3pfVXpjVQ0rO5zv7n1dhoM6xcN9fuuVA-9QsqsmYHqSGamGPR8LOacNOGBKzgNutVXPvO_TgQIqO7o-jkfnJMBb2-v52teWwY8BcQnLBUJwor0IGhf-ta7aacuyIrGYAmWAjHhW8eNFWHqHzYwh2o3QPgyYx7C5vorMxbYD-kVMZeoOgZpF4RV454Y/K5Z1latqyQgHhHToZjSumBQf79x9lCbdU9UVRefK9go),SP Doc Pedestrian-controlled Lift Truck F6 Driver 3 20.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/9tRCwZ_2fDNU0PLqnaPbSA/gxSV09LXiB_hyIrlBlRUXvU3EqHCFgfBNBGKOFZIozGMiRp8bCUOYFJFwXoQqV7sgQcOQJRrsmDX0MsK5Bo2pQdQnua_G_qIDoS4QcfqCWUDW-2fgl1eumyrpe5fD9MQe1D2tpAcDigX9JE_XopQfE82DaZwx8OVDHitLchxpmUNFJujLAabW5ibi6kO4dNr/_JDx031bcFiz1j8gg8-8EN4KgDm_Ggizu3ARUG3yaL0)"
SP-220309,Pedestrian-controlled Lift Truck Driver F7,3,20,"SP Curr Pedestrian-controlled Lift Truck F7 Driver 3 20.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/tWgN_Q7J7KJ8gcrUQb3qTQ/nBjuoyABDLSSqmtnhohKhU-Z6yp-jCvdHe9u9AqJ6I2whl6gUqBAgXo8mNeLC5mcKdc3_79S8wxAT48R74wQq4GhzSMI0lf2R0H0hD8c3t56GRB4xmjP4jPkHiqjJPrIa4hUjswtXEN9Pqmq6HuVJuhWmnAd1jXjQkMkaAFABMrtOdJYs6qhSuKV9rgE300p/oDQswMYzD-UtUQ3Vf1Kt5vpuAG766iRX_3102nL76GM),SP Doc Pedestrian-controlled Lift Truck F7 Driver 3 20.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/tHwslT8ddK4Rjj1WzbjClg/MESViBsbzm9W0I9gtysu-rZHHkarcJbc_6YsQ2YaB3vUEy7XNCx3m4NvUgEjTQXfCjo0-0ow9EM2TwIk8O6pffS9wWKsv0LEyOacj-kSj97BYux9SQOff6aziYsDgy-C3PZyF80N3fwc6c2KC-D_Wl6UTluwQFZtbYP21CtdIHiEUscM6tfXitAemeSX0rNY/sCAeOPSxizPmAAeSGxaSQLA72XV2LOAC8aYSxFn3yOE)"
SP-241201,Proficient Road Transport Dangerous Goods Driver,3,8,"SP Curr Proficient Road Trans Dangerous Goods Driver 3 8.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/EcD2a-Ctjj70Hb5R_Kxi_g/55meqieh4MwbTMTWY7g3265XAz-jOhqK9Nc7XrYHfRBrmYgBlN_NtneNC9g5VTgnBaND84eorluLUm42aA5UFn88_UO9V904h6AlPFmmSFU5PbJuZoz5sGz0jwrZipEkbek-QKvmUcvTiAYyvza_lDA9rrK0lI6uKOvsdPn-rQd4DEANZQEma7L6j2WmuUTIGEZKMytYcqcTworKAubxEw/kOnE_gYXCPxkG5yVhQyQh_THVmZ6k3yVKhpEuHOPmpg),SP Doc Proficient Road Transport Dangerous Goods 3 8.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/-EPvNkPT659iJFDAR4U-oQ/HgqcHMjIjb90cMUO_mJQ93pwdDaq86puLyTOP4dIhzmE5RDfkGPRc6Q3hjmsnK1F2NksW10Y4dT2hdZTjbI7f1MMo-jhLAZr6vuwURn3QQITyVU1SfnpZqYljusRpeqof7cA7M5rL1jUvks21-Xo6TSFbwGeL_1tUZECxYIG84PRBVZaa6Yt5hrJ4JVPizmlmXmDvNM-mQ0gch6bnWSM8g/GCUWAHdEUeGHKTLkAw7zS1ZnxyixGzljpWNxWVw3YjA)"
SP-220317,Rail Mounted Stacker Lift Truck F15 Driver,3,17,"SP Curr Rail Mounted Stacker Lift Truck F15 Driver 3 17.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/8JVqgnEYLe2tbBMdVH3pVg/xhFVp7MdqwdaFxqhyuU-u4TPn_crw76CxzF0ZZn781OdbAoC_8Lc0hYAbcQHzcvxJp9SWt8P-bkSm3I_j_Bs9dUNka-xy-uqo3vkmuK_GLhyULHDBLWgqONdk3d1ZX7N6ePKK9RDfBZw_rYH_G7AtxW3gOftLW7LHZYsADNLynbFrQZPGDtivHox0dXdjSBm/37VYdAVnr1JkjvmuGWAjZh8iGkGc5I9b3dn7sxfAIBk),SP Doc Rail Mounted Stacker Lift Truck F15 Driver 3 17.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/rOCRv4cLopIZBSwtgQ8yzA/bILEikfNHegBv6UFL-IqHoJynakGWy5pDkj_WEqshoehciwB-GHy2q8hZBYQMEiGlNebq3YwbI2m1MfQeNiozQ_AqH-oi1-Ffw5O1iPzP8dTIkZ6Nv8v28SN0XHHWnB9wW047NL0VGjKJqPxQq2cqEcZwz5j2mKUbzyveA_XOPFiphpQpwbgNNyzm2ahkdds/tLtvNJCyMrwk1Yq4hPIPR9dnWzEJK0DDuWJsF-MtguM)"
SP-220307,Reach Lift Truck Driver F5,3,20,"SP Curr Reach Lift Truck F5 Driver 3 20.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/8cu0Pa2Qa1e40tO2Lt9S1A/PJs6tbL5ZlTNY-ExJfBWzLtqoQXlrdeTCoxfGseQ3IqKsr37beL5ipIdAoYN_kFcA6hBpcpwoltBdOjf7kM-9lpzfLLO61sE5dlnym28mAdmDU3TBsHmsKA6fp5XTioSrMgPsIRQOSPuOMb_4sN-irVa84kD-fATsBNA7CEa9Gk/eQQnhWtr9-na_1jQfu19G-DLFWpN9NWszmAKE8r-mFY),SP Doc Reach Lift Truck F5 Driver 3 20.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/axMREsUIM8L4H1uY1l7Aww/2Odr5enTyBOjqGftIBe-Wtiy_4qeWmeZBKJ5mfN8boenK14Dw3-zjAhGUjK-olDxQ8xoq35SV4zs-r6UlPQem5lV6A1jIoIxM6aPc6XQ5Aseewkc_nEtqlyUEIqDQ8acyeiHV09GyNPsROz_0oMr9Ol9Y-hN0W0xQ9gqzvD-pfc/BBhz7R5B75eKSf1ZSaieZ9UtRRuO6boLsWQbAMhJdyg)"
SP-220313,Rough Terrain Lift Truck F11 Driver,3,26,"SP Curr Rough Terrain Lift Truck F11 Driver 3 26.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/UiWPV1d1hSIJfQAVjKCl8g/cwrywapYSO_p9dvSFWd20zrCYEey-W7zsQx7iKVtEUmHLaFPOY3CIGjwBFG1-QJJKQb8dP7nmjlEpWtHBs0N_oHZwlnedauX0mZuZGwUSLZDf2sRUBcB6RrPahrk3RxGqgowF2HSp4-FL4PiqE7mpFnIpqmEvBGEb_AKqg1Dd6at2NAi3WsmeeyGX9tC-cNz/JVGwYRSZfmdQt4yQfQ9Eg7RjzZic1fUTJI5SF6-oPI4),SP Doc Rough Terrain Lift Truck F11 Driver 3 26.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/Mjz8EgasevCHg8WNUubKUg/N0wXyKwHDPTtoIY318GK4KiypmV8XMvi-ZweUagqi112RL35-DOm1PylaDlGoyIYkwrKYDHskSwbXIM4aBIGsplb8uPqYZhkTUR5vE3NrY-VXz_MNGz9xg1xuyOjDOVctoTFrUS1-p1n3BFXKD8Fr9JY1s5tluqVou3D7h8-8ilbs90kjS_NlCX2PB4mp6Qu/5yMbt2LJLrg7U00Yq90X916eIi2pvlA5wKIo8MKnBOk)"
SP-250108,Screening Plant Operator,2,24,"SP Curr Screening Plant Operator 2 24.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/0X2W6lVBaqdWaL5x7t7orA/slYNATF7muudQQ0AtZ-NPLDwsGisN5EMWFgncFZIpvN4AwKfmPmV45vXc-cVbqh_TCxB4pnFNG19aHoZLVB8amLn18lhyeAlHxL_Xy4DNzBbZmk3tRUGpCN-aAyjVpjCmtn1I7RLpPBORmmuRW0EV1TaeOfy7CkARWgX64ceOgobA0G8r7VMMRXpPual-7m7/Xh5N6VIqKVDwf8FWNcxH3I5Vry_y2EJZNN0Wjm58z04),SP Doc Screening Plant Operator 2 24.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/_ueELLA1uDlwsREiP4lsUA/-cgKRKBf1FRnGnutWo8RpdQuf49ULb4xMSJB4eQPcyEpVDh-L1upf4Ygt-tJxrsv4nXMde2wPkD8tCHCbxkxf-YBE0dJ0iehx7B_uu9ZWJbCnU6sI77EMzwXRtxkAO6gCC1PXu9q4MkfnZXiAAfekB6OBhCvrqR3kv6Uf5wKYwWX_-v4mfy1Qky3S98UcxYL/O-6IaBofOo5T-xfDBk7gyfZaoRreqzTa5DvGOVcbFpc)"
SP-250109,Scrubbing Plant Operator,2,24,"SP Curr Scrubbing Plant Operator 2 24.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/jrkDxq-F_9_2GFdtmTMdMQ/MSakUbYW6MHl_4iL3TkVlOUpIH-j_ExXR8JDYN9UF1D9kfCBHRRDyUu8FmqkUxoGWzRFHQT9_Tu3v5mMFgNndn8_PiIaCpHFiIkvJ_gMeeuDkmZK5PvBwGV_PG5fC4731L9MgqlqgqDAtcSJlFg_3rY0Vjpl86jJY6HIPWjzb4HUT6HuS5Or8_sb_QemeoZV/Ma5Po_sdwbxmLtvXpucxjzWMdDDETCFYeH0ngxNzHDk),SP Doc Scrubbing Plant Operator 2 24.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/M-K1gWAAsa5-x-zb4t_YZg/i0gOyA4I6E8h8cZGwsuVHpoHbbazXbY9819BpQ2JFKphGSSoexNBbymlBTuO9AUZmdx4xRjvL9U5wYEjHHyGaCu4JnMOQ-Qo-G3WcBqMJhL487T1j9u0cKgRusz67XsNfIi6ue0DQbuUZke4ZOmmq5Pc6UzV_9DzbxceydT3ak3837VmeW8EK4uG3jku0YNA/bShg9DcwMHzPn1d-Ir36kBWx9KDKPZX-RN_jT5QqVH0)"
SP-191214,Seamstress,3,36,"SP Curr Seamstress  3 36.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/zlnFYhAx5cH8DfpjrcKfdA/bAEgyyU_8Dz-ZYfC5U6ihVfyubT26ZG952FzgDWKCMl1KNQ2Fwpm-Uj69ImkBjg2eoFE-Jxug_IVihDe8iaMu9-txHK5U0mhvvl_rJXcYL-G6A3Inm3L7bX3359UDcNhohz2r1CTikus5JepiC7MU5jpzKR13jxw0JGKuphDqhw/i3f0Q3vfa6SB-2eMT_09qsj4g2cQj90d5vDWnSl9Y0U),SP Doc Seamstress  3 36 final.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/bVJzXma1a0jkyx7NxPXPAQ/d5eZjL4R7qooXMhZjvfnvc7Ykm5zkq692gPKCIlEPRf2aDZHY1md4B7YnQw4Yhd2uPdY-FCewQ00CtxBD7XMBKVju0-iev8gzKB4GBl22GZ1Cvg00jSEupPAmd8uOtvSI700TbS_3MndC1MEvxL6mL6czUX3qY4wzX137Tz5P78/-ratADQ4VDGiSFGv-VVIgYe_8mjDQ0jo8oD9QZCnxWc)"
SP-250810,Shutter Hand,2,52,"SP Curr Shutter Hand 2 52.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/icH_6lldSZHX2GmDRljtSg/AmZAK0NCOW0DeBauQcGzHK7SnyppkwfxeWI7sCso6Y-j1DvUb4QyzwzxPUkqAJpKkfTQgRPk_GN_yBL4e_JSPT_YuaDyn_tUBmv3z5r8omwn7WflNJtHDCPnEruy7CrtBIBGW02y_Ya4dGT2ArQvtut8KH9ehotQeddXRrgnjSM/6Mtmj7uorM8b6Iv9n1FKlkHDu6gTjb9ny7cHVzSzGs4),SP Doc Shutter Hand 2 52.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/-rRGKw32gQgYwxJb6jhvgg/qR1sg9-paYJ4B3ah4AQfo9jtWSDukMq937dHnCLMDhD-Jt3ZO4DQ_aOsJxJIBb2tFMLrzCDI7TrGO-6ZnsxymmQhm6oA49SWS6UIrxZ4RitgqKKWtgDKQXtyU4LH1Ir9VJtFqrDLc7bRUPvXfnqH2cO4s37pqJljk2tc4sANeeU/-Cya5rPmbz-_QmEjeATOumIoTIpOWi_SbnzNSMF4vYI)"
SP-220312,Side Loader Lift Truck Driver F10,3,20,"SP Curr Side Loader Lift Truck F10 Driver 3 20.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/ucHuiVHYmA5qgyVglzNtwg/EDyBBwE74HyR-mDAbLQJCJavo9iKxYr6I17XPtpK6XsNCTh5E6Ngwn-XWYaN_eyezd5DLjoV3CX9x7Ju4IO2Bvkl48pV6DKL7umeJP1MdTDgISYAYD3DTnOHyNSYBdpMIVUqeE4yBpLNaBPGZUksTLPmMMSir9wFqYX1RvobOnzD39166yhZ31daNyzWzTyn/INxSGR2sV6gaUfcrkXyDBlbmujiEGp8a71rhgHEraFE),SP Doc Side Loader Lift Truck F10 Driver 3 20.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/JgO1JvxaKGp9zv7jSnOcZQ/1NmZqraZ_zCL_T_wAfDnZatPttJnRw77CIo9vHz_uDAtOZqThNjKNwunkhkkaeE43g5C6Ei8n2IeMh60ZQTKaiK13l2R2xdVfjNb_Ru39Rn1bm_rIv9QBbfxlx7f7icpreMhpc8y-qjB5Ab15Sw08FfFaXTgc5JfLUGWeKOam-fwCfy3Q0TMxSFGk-OPyI0i/Rz1g0IGSaBsBP_apVfoFXn7XPs2vB6HyjSxJdLU5Mzk)"
SP-220321,Skills Development Facilitation Practitioner,5,40,"SP Curr Skills Development Facilitation Practitioner 5 40.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/9oUvbAcs7wX8IFaYzyIcxA/xksu0u1Nc1SNJF72zZbyoQJovJ2ek8LVJ8fQxh7WroZglqx9S1hMqytuObXGOXXyANqwWPuYwke3SpHGGH21zKDEjDZhFYtsoRRXlyk6vejaNd_aBf4oqG_FmdSTgO_mvsFDILV-Pwv9gWQDiDqvhCpZgZnMDxi5jNMl5DYl9QmZKZGGr7q1d7X3ZOIomrcJPGmwUe886Y3sGgdHiZDy2A/EU3m59w9Jh8rBeJRx-cR8lEBPCgL5mWqb5YxBZ_Hx4Y),SP Doc Skills Development Facilitation Practitioner 5 40.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/v4xCSYQztnRLpVpmTiO7yw/I5SceHyeHvWYMZjy9--lA1TtQwBqK8QAXiOeDZlR1taB8glwmOk2nn0pNJe4Zwz8N8g7wAgi_FsO7_nv7Ri_S8rdqEKK1pWR1-_6BNxferncB0Fvwmkg3ivpEj4Febj7G202BIF7OLoSxemacX23ROhZ-ovaYJWmPTfmLe1MtEWNFsq9FoJumzkTfFJDQA4m4lThFnAVA_xa9vyxeYFoSQ/58S6zuQcakx0hegIDci0uEv7jNwY-Xv6fvyPknKfmZc)"
SP-250118,Smelting Plant Operator,2,24,"SP Curr Smelting Plant Operator 2 24.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/pKixlxkMmH3eetmenvJfdg/18ScSfnJCMe-7jhxqNAxCb8Q9D-UOXKt3ZxfYebn-G3iIilPFHUj1Ary5kfAzLc9E-ff5qeY8PFYmqGKnsK72kzPSWBMT0rt_3XV4mNp_LaMm5Ue52JLb7aPVfrOw_PlttkUHDVLscD-hdJy_5TL3RNi7jDZ0slhUY2FCbc6CR5wKPA6lhgMD3shTTiI4YVO/ibm3Gt41La3bZQRPxULYffQU6l0zeehG6et9aTHPyvw),SP Doc Smelting Plant Operator 2 24.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/sCDpZYm0FZGmgQ46bpFKMQ/Vo963Mt83cNP83SExNr1dXLYIYaHFxNp_SnpKmcpWzYmduo6T46Domhyd6X_Y9sxJqugsgp6f86cl69LxSvBzip1b-oI273e7nLH6wnqDlTkpAOLOomDPx7Y5NGPFwqeLIPGg5TpONkgvHasbiDpuM98yqlxyFjGBmVgeRtPiegQrj969tNX8E6eVIZ4HFuW/rLA7jsomUMrczvrhi9gksGWgQOQfi9lGpC6TFzOvhzo)"
SP-220903,Specialised Chainsaw Operator,3,15,"SP Curr Specialised Chainsaw Operator 3 15.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/pZG8c0O-6c-1-XPIbCqGWA/9_bsIQ3D57Qu0keLAZ31FEbhYQRkyv9dpOgn_P0v7Ogsab6595K9uRd1XqzLeCXjq6VmWLNciLGhBoh6vZOgVhCMzYbbk6eT0GGlZYwTZ_uK0CZvt74ZYil51d7H3m5-G1SMEH4FHrmHIiazS1iHtPuC40ZNOt1nQv0G2CtfaDTc9wcsMXDubwveBxfCD9ZV/AvHtTLRJNepxhuf3UUSNAL1IyN6ZKgIhzJqkOHo0O-4),SP Doc Specialised Chainsaw Operator 3 15.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/AZeYppzL3C6Q3IIciCquJw/bBcn7bZhY2AxPyQOzgMFMNuaL77L8fczLJ3vf0zQrQdbPftH823JiMgwVpoyJoZD2_cBiglL8KNa1XF4TfjQhEpxBzEbb0lsOW-RQENJFziVE_mJrWASib3mc6L45qMavRHQDsjtehLIUYyA5MTzRsphwdZOqDyoRCLImSYoty4V9yKHQ7tZLBIrOUjVB7fy/Th1aao-McsAE0eCOlMa0slljSwsYmysFFkXCNXgLx_Q)"
"
  SP-221121
  ",Surface Blasting Assistant,2,20,"SP Curr Surface Blasting Assistant 2 20.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/NUudHaOkefNS301NbI5sHQ/lNN4ra4EEg8RBW1XOgU-xkmRxar7A9nd6pa9-WzPa_NOiyiXSU8lHwOjYVCwtFMr9wlJKxXt1sSLmFleYYTwY-boPR4UhUoBSseI3CAG4S9W2lV0EiORSc8tUNqH46rF-rzFPQI4IxppJymyC2QYbNhgWqOB0l59CK4mV2UeZHNWvVl0Zhlsn7T9Q-9Ua1xa/ZxthPK3CH9iBIp0PyTNpj57lwdQ3gbcUddO676DMPsM),SP Doc Surface Blasting Assistant 2 20.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/F1tpXyCOVIlInRGInWrv8A/3VXUOt52DIGuzaxjyd04ZZ55u_345x260fwPpGjz1khkcbRR6HQFolLuVkTLCeyqGhzW-JHFmOjkCzw5fB-AHpfPmFagGd-SjTxO7pLJDorZ-rutTM1qIxUcPid6djXNUwGJk0hqpTxFAUsB1BX3d6S5R-s436W1S8nnsx9HdBI3nF2TP222s5ok8qnv_IkR/hHeuNOh94TvLTxZARP3G2g1VqlBGT-wt8ZnLQNLkZys)"
SP-250802,Team Motivator,4,13,"SP Curr Team Motivator  4 13.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/hC5w7z02Hb_LPDTJTkv8jw/KTjsT4dJLqvhbg2Jr3uBOba5gevOpnNBOuzXYMYXp8tU1j8VLwxeeoMroqJVPL7p-KV9PswltUqYf5Uz9zUecLKepgRn1g6OrheHVgCT6lx7Izldg-jpWigGLIhm-P4zZSRA9EnpFkFxV-Y6nQRZ9Zr641sw27pDfwD32PbEobVU84CmDvYT6PKwH0n70gER/ZPO0y5c9RbgtGggX_D6iyZlsxqVtEnrBPxpD-E2QgeA),SP Doc Team Motivator 4 13.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/WzoOI3HzaK2S-DzY1y_zEw/dpNqZHNsB8-ERzEl9WTkPQSiRLjhgv8LYvt-VLD9MILKTqY4eP_yXkM_h2CCzzmROijAk6ivBzI1FP0C0FTiyHJZQaxidfQF7YAmKWqvYdrtACkpil5_qdwhksLcTF3OP7BG6slq2M8iA0HJB7F0CEIE0UyZIpaWKSZgW21KOYM/34bj05C39RS82h92yV_dWiSF00ucRq6EZVLI5N9nMe8)"
Skills Programme ID No.,Skills Programme Descriptor,NQF Level,Credits,"SP Curr Team Motivator  4 13.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/NQibw71lAsl5IOFua6sclQ/oZYtLQVkUUlbaTS2rDMFJj8UeRabi49XaGl0Ez3E5uWYs3Vjiat7RizcmHyI8068d4v1ACB3DU0bEaWpP1JLcQU4E08w6F2zq5OPaTtJiPYRyM-uw-un4P0o-NME54oCqMv90WQlfOJ0OgDQZMnS4J_2xygQVKRq-qDPspyka8Gs_sDIcIi9_HpLtdJU9uAu/G9c9EAlcIBeE3XfDHxq4epx-8fB4fEYImsMnnTqxjDQ),SP Doc Team Motivator 4 13.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/4xot9hqRSUDQvYsWmutVnw/AHqJl_eq4f_7sj-zgjkIuco_zx6T5s4fKrgRR5--EHsju506nphOYHfqLBTXSF9lWXRxvGI0yYuqZVQJ7oEuZXogpiIxTNxmDOA1GZotC0Ifd3DK1Oi7WRzzJ2ClcQfVX2hJZwVj_dotYu8NqkuSHbaweVuBrQjbhmI78toUboQ/i2yqZluCVWXkVAmuogFGrCldk74FYBpVAh6QitqEVEU)"
